state,county,poptotal,popasian
3,H1LSDALE,43431,112
3,HOUGHTON,35446,610
3,HURON,34951,60
3,2GHAM,281912,7562
3,IONIA,57024,120
3,IOSCO,30209,269
3,IRON,13175,32
3,ISABELLA,54624,456
3,JACKSON,149756,653
3,KALAMAZOO,223411,3168
3,KALKASKA,13497,23
3,KENT,500631,5380
3,KEWEENAW,1701,6
3,LAKE,8583,9
3,LAPEER,74768,282
3,LEELANAU,16527,45
3,LENAWEE,91476,486
3,LIV2GSTON,115645,480
3,LUCE,5763,6
3,MACK2AC,10674,11
3,MACOMB,717400,9112
3,MANISTEE,21265,54
3,MARQUETTE,70887,538
3,MASON,25537,75
3,MECOSTA,37308,187
3,MENOM2EE,24920,60
3,3DLAND,75651,804
3,3SSAUKEE,12147,25
3,MONROE,133600,574
3,MONTCALM,53059,157
3,MONTMORENCY,8936,10
3,MUSKEGON,158983,555
3,NEWAYGO,38202,103
3,OAKLAND,1083592,25103
3,OCEANA,22454,50
3,OGEMAW,18681,19
3,ONTONAGON,8854,15
3,OSCEOLA,20146,43
3,OSCODA,7842,5
3,OTSEGO,17957,82
3,OTTAWA,187768,2451
3,PRESQUE ISLE,13743,30
3,ROSCOMMON,19776,23
3,SAG2AW,211946,1272
3,ST CLAIR,145607,475
3,ST JOSEPH,58913,258
3,SAN1AC,39928,71
3,SCHOOLCRAFT,8302,13
3,SHIAWASSEE,69770,223
3,TUSCOLA,55498,206
3,VAN BUREN,70060,217
3,WASHTENAW,282937,11724
3,WAYNE,2111687,21704
3,WEXFORD,26360,87
4,ADAMS,25371,30
4,ALLEN,109755,572
4,ASHLAND,47507,271
4,ASHTABULA,99821,350
4,ATHENS,59549,1374
4,AUGLAIZE,44585,177
4,BELMONT,71074,129
4,BROWN,34966,30
4,BUTLER,291479,2659
4,CARROLL,26521,29
4,CHAMPAIGN,36019,113
4,CLARK,147548,653
4,CLERMONT,150187,453
4,CL2TON,35415,138
4,COLUMBIANA,108276,219
4,COSHOCTON,35427,112
4,CRAWFORD,47870,116
4,CUYAHOGA,1412140,18085
4,DARKE,53619,114
4,DEFIANCE,39350,121
4,DELAWARE,66929,385
4,ERIE,76779,265
4,FAIRFIELD,103461,378
4,FAYETTE,27466,102
4,FRANKL2,961437,19437
4,FULTON,38498,137
4,GALLIA,30954,136
4,GEAUGA,81129,312
4,GREENE,136731,2133
4,GUERNSEY,39024,141
4,HAM1TON,866228,9198
4,HANCOCK,65536,401
4,HARD2,31111,115
4,HARRISON,16085,15
4,HENRY,29108,95
4,HIGHLAND,35728,71
4,HOCK2G,25533,25
4,HOLMES,32849,43
4,HURON,56240,153
4,JACKSON,30230,39
4,JEFFERSON,80298,266
4,KNOX,47473,195
4,LAKE,215499,1447
4,LAWRENCE,61834,75
4,LICK2G,128300,475
4,LOGAN,42310,240
4,LORA2,271126,1479
4,LUCAS,462361,4981
4,MADISON,37068,157
4,MAHON2G,264806,985
4,MARION,64274,285
4,MED2A,122354,684
4,MEIGS,22987,20
4,MERCER,39443,100
4,3A3,93182,606
4,MONROE,15497,12
4,MONTGOMERY,573809,5886
4,MORGAN,14194,12
4,MORROW,27749,38
4,MUSK2GUM,82068,152
4,NOBLE,11336,9
4,OTTAWA,40029,94
4,PAULD2G,20488,20
4,PERRY,31557,21
4,PICKAWAY,48255,95
4,PIKE,24249,41
4,PORTAGE,142585,1191
4,PREBLE,40113,65
4,PUTNAM,33819,25
4,RICHLAND,126137,578
4,ROSS,69330,266
4,SANDUSKY,61963,142
4,SCIOTO,80327,126
4,SENECA,59733,234
4,SHELBY,44915,393
4,STARK,367585,1529
4,SUM3T,514990,4989
4,TRUMBULL,227813,973
4,TUSCARAWAS,84090,187
4,UNION,31969,132
4,VAN WERT,30464,78
4,V2TON,11098,3
4,WARREN,113909,627
4,WASH2GTON,62254,185
4,WAYNE,101461,535
4,W1LIAMS,36956,127
4,WOOD,113269,1028
4,WYANDOT,22254,65
5,ADAMS,15682,56
5,ASHLAND,16307,46
5,BARRON,40750,95
5,BAYFIELD,14008,24
5,BROWN,194594,2522
5,BUFFALO,13584,29
5,BURNETT,13084,24
5,CALUMET,34291,173
5,CHIPPEWA,52360,276
5,CLARK,31647,38
5,COLUMBIA,45088,136
5,CRAWFORD,15940,56
5,DANE,367085,8666
5,DODGE,76559,197
5,DOOR,25690,47
5,DOUGLAS,41758,266
5,DUNN,35909,633
5,EAU CLAIRE,85183,2124
5,FLORENCE,4590,4
5,FOND DU LAC,90083,448
5,FOREST,8776,14
5,GRANT,49264,234
5,GREEN,30339,66
5,GREEN LAKE,18651,103
5,IOWA,20150,19
5,IRON,6153,2
5,JACKSON,16588,30
5,JEFFERSON,67783,287
5,JUNEAU,21650,78
5,KENOSHA,128181,669
5,KEWAUNEE,18878,23
5,LA CROSSE,97904,2667
5,LAFAYETTE,16076,19
5,LANGLADE,19505,22
5,L2COLN,26993,78
5,MANITOWOC,80421,1071
5,MARATHON,115400,2499
5,MAR2ETTE,40548,63
5,MARQUETTE,12321,18
5,MENOM2EE,3890,0
5,M1WAUKEE,959275,15308
5,MONROE,36633,143
5,OCONTO,30226,36
5,ONEIDA,31679,56
5,OUTAGA3E,140510,1904
5,OZAUKEE,72831,438
5,PEP2,7107,9
5,PIERCE,32765,172
5,POLK,34773,50
5,PORTAGE,61405,786
5,PRICE,15600,27
5,RAC2E,175034,1004
5,RICHLAND,17521,38
5,ROCK,139510,985
5,RUSK,15079,114
5,ST CROIX,50251,148
5,SAUK,46975,79
5,SAWYER,14181,15
5,SHAWANO,37157,70
5,SHEBOYGAN,103877,2061
5,TAYLOR,18901,44
5,TREMPEALEAU,25263,46
5,VERNON,25617,42
5,V1AS,17707,38
5,WALWORTH,75000,494
5,WASHBURN,13772,33
5,WASH2GTON,95328,337
5,WAUKESHA,304715,2699
5,WAUPACA,46104,92
5,WAUSHARA,19385,43
5,W2NEBAGO,140320,1728
5,WOOD,73605,722
