"name","location","description"
"눙","","#bitcoin #tesla"
"Nathan","South Korea","Just another retail investor who explores, discovers attractive firms and loves DD. Economic freedom. TESLAMANIAN <U+26A1><U+0001F698>"
"Nathan","South Korea","Just another retail investor who explores, discovers attractive firms and loves DD. Economic freedom. TESLAMANIAN <U+26A1><U+0001F698>"
"Nathan","South Korea","Just another retail investor who explores, discovers attractive firms and loves DD. Economic freedom. TESLAMANIAN <U+26A1><U+0001F698>"
"Nathan","South Korea","Just another retail investor who explores, discovers attractive firms and loves DD. Economic freedom. TESLAMANIAN <U+26A1><U+0001F698>"
"Nathan","South Korea","Just another retail investor who explores, discovers attractive firms and loves DD. Economic freedom. TESLAMANIAN <U+26A1><U+0001F698>"
"위키트리 WIKITREE","대한민국 서울","Wikid Voice 세상을 깨우는 재미진 목소리"
"위키트리 WIKITREE","대한민국 서울","Wikid Voice 세상을 깨우는 재미진 목소리"
"Berlin Flamingo_DENNIS","","#TSLA #PINS out standing !"
"Berlin Flamingo_DENNIS","","#TSLA #PINS out standing !"
"Berlin Flamingo_DENNIS","","#TSLA #PINS out standing !"
"한경 KVINA","대한민국 서울","글로벌 진출·투자 파트너, KVINA"
"한경 KVINA","대한민국 서울","글로벌 진출·투자 파트너, KVINA"
"한경 KVINA","대한민국 서울","글로벌 진출·투자 파트너, KVINA"
"한경 KVINA","대한민국 서울","글로벌 진출·투자 파트너, KVINA"
"한경 KVINA","대한민국 서울","글로벌 진출·투자 파트너, KVINA"
"한경 KVINA","대한민국 서울","글로벌 진출·투자 파트너, KVINA"
"한경 KVINA","대한민국 서울","글로벌 진출·투자 파트너, KVINA"
"한경 KVINA","대한민국 서울","글로벌 진출·투자 파트너, KVINA"
"한경 KVINA","대한민국 서울","글로벌 진출·투자 파트너, KVINA"
"한경 KVINA","대한민국 서울","글로벌 진출·투자 파트너, KVINA"
"한경 KVINA","대한민국 서울","글로벌 진출·투자 파트너, KVINA"
"한경 KVINA","대한민국 서울","글로벌 진출·투자 파트너, KVINA"
"한경 KVINA","대한민국 서울","글로벌 진출·투자 파트너, KVINA"
"한경 KVINA","대한민국 서울","글로벌 진출·투자 파트너, KVINA"
"Bingbon.kr","","빙본(Bingbon)은 무려 34종의 종목을 손쉽게 거래할 수있는 USDT기반 종합 종합 마진거래 플랫폼입니다. 150배까지 레버리지가 제공. 암호화폐 14종목이외 글로벌 지수 8종목, 금,은, 오일등 선물상품, 외환FX까지 거래가능합니다. https://t.co/ZZopoTZY7y"
"뉴스1","서울시 종로구 종로 47 (공평동, SC빌딩 17층)","사실 앞에 겸손한 뉴스. 민영 종합 뉴스통신사 뉴스1코리아 입니다."
"뉴스1","서울시 종로구 종로 47 (공평동, SC빌딩 17층)","사실 앞에 겸손한 뉴스. 민영 종합 뉴스통신사 뉴스1코리아 입니다."
"Korea Coin Group","대한민국","대한민국 가상화폐 정보(Republic of Korea Crypto Currency Information)"
"이광호(Kwangho Lee)","South Korea","<U+0001F33F>Cosmetic Researcher, Master of Chemical Engineering at KNU, Table Tennis Club Member, Fan of Samsung Lions(Baseball) & Heungkuk Life(Women's Volleyball) Team"
"후오비 코리아","대한민국 서울","후오비 코리아 공식 트위터입니다.

거래소 바로가기
https://t.co/xwvec7ZIYy"
"북슬러 이해찬","Which library and park","책이 사람을, 인생을, 운명을 바꿀 수 있음을 증명합니다. 그 과정에서 얻은 깨달음을 미래의 제게 전합니다."
"HONEY","神奈 <U+6A2A>須賀市","愛車<U+0001F699>Tesla Model X /<U+0001F935><U+200D>♂<U+FE0F><U+2764><U+FE0F> @haruotesla2020 / #テスラ<U+30FC>さんと絡みたい #フォロ<U+30FC>大<U+6B53>迎 ※フォロバは基本<U+4F1A>ったことある人だけ<U+263A><U+FE0F>"
"카카오TV","","톡에서 보는 오리지널 콘텐츠!                   <U+0001F497>콘텐츠 바로가기<U+0001F447>"
"ㄷㅍ","Jeju-do, Republic of Korea","Investor Unknown 디피 리 
( IU♡DP2 였으면 좋겠네요 ㅠ.ㅠ )"
"ㄷㅍ","Jeju-do, Republic of Korea","Investor Unknown 디피 리 
( IU♡DP2 였으면 좋겠네요 ㅠ.ㅠ )"
"ㄷㅍ","Jeju-do, Republic of Korea","Investor Unknown 디피 리 
( IU♡DP2 였으면 좋겠네요 ㅠ.ㅠ )"
"미국주식x미국개미","Manhattan, NY","미국주식, 미국ETF, 세계경제뉴스, 미래트렌드를 Self study하는 미국개미 블로그 바로가기 <U+0001F53D>"
"사회지식연구소","대한민국","#잡지식 #유튜버(youtuber) #소소한행복"
"아시아경제","대한민국","아시아경제 공식 트위터
경제를 보는 눈, 세계를 보는 창

Facebook: https://t.co/v6tUs25tKx

#South_Korea_News #KPOP #KSTAR #맞팔 #F4F #경제"
"아시아경제","대한민국","아시아경제 공식 트위터
경제를 보는 눈, 세계를 보는 창

Facebook: https://t.co/v6tUs25tKx

#South_Korea_News #KPOP #KSTAR #맞팔 #F4F #경제"
"더퍼스트경제TV","","주식<U+0001F4C8> 테마와 정보를 가장 빠르게 알려주는<U+0001F514> 더퍼스트경제TV<U+261D>
<U+0001F449>카카오톡 : https://t.co/HrWZTvQuKh"
"더퍼스트경제TV","","주식<U+0001F4C8> 테마와 정보를 가장 빠르게 알려주는<U+0001F514> 더퍼스트경제TV<U+261D>
<U+0001F449>카카오톡 : https://t.co/HrWZTvQuKh"
"더퍼스트경제TV","","주식<U+0001F4C8> 테마와 정보를 가장 빠르게 알려주는<U+0001F514> 더퍼스트경제TV<U+261D>
<U+0001F449>카카오톡 : https://t.co/HrWZTvQuKh"
"더퍼스트경제TV","","주식<U+0001F4C8> 테마와 정보를 가장 빠르게 알려주는<U+0001F514> 더퍼스트경제TV<U+261D>
<U+0001F449>카카오톡 : https://t.co/HrWZTvQuKh"
"더퍼스트경제TV","","주식<U+0001F4C8> 테마와 정보를 가장 빠르게 알려주는<U+0001F514> 더퍼스트경제TV<U+261D>
<U+0001F449>카카오톡 : https://t.co/HrWZTvQuKh"
"인민망","","중국 관영매체 인민일보의 온라인포털 인민망입니다.
인민망 한국지사는 한국채널과 한국어판 운영을 통해 한중간 쌍방향 보도를 실현하고 있습니다."
"한겨레","한국","시민이 만든 신문, 한겨레 공식 트위터입니다. https://t.co/gaFSERTpRb"
"김유진","","돈벌사람??"
"김유진","","돈벌사람??"
"김유진","","돈벌사람??"
"김유진","","돈벌사람??"
"돌쇠","","병자호란때 잃어버린 마님 찾아요"
"Tony Yoo","Seattle","<U+0001F30D> --- <U+0001F680> --- <U+0001F4DB>
Broke: spent all my money on dips"
"GoldStone","서울","Ph.D."
"MajorShift메이저쉬프트","Washington, DC","Husband, Father, Investor, Consultant, 유튜브채널: MajorShift메이저쉬프트"
"lion, sangin jung","Thailand","Meditation, Rock climbing, Friends of the Earth, Boeing 737 pilot, Osho, Zorba the budda. Tesla mania. Korean in Bkk. travel  writer and 유튜버!"
"lion, sangin jung","Thailand","Meditation, Rock climbing, Friends of the Earth, Boeing 737 pilot, Osho, Zorba the budda. Tesla mania. Korean in Bkk. travel  writer and 유튜버!"
"먹짱","","ㅇㅇ"
"<U+1D04><U+029C><U+1D00><U+0274><U+0262>","","양도계"
"[반동결<U+2744><U+FE0F>]긍쏘른","","희망동아리 품어요 <U+0001F3B8>"
"맹그맹9","",""
"올진혁<U+26C4><U+FE0F>","","#이진혁 #올라프 #나의칼을받아랏"
"aleska123","대전","대전 / 2n / 183/80"
"송재상","",""
"JJ HWANG","","Denver King"
"Jinwoo Lee","Korea","이런 상상 해보셨나요? '내 삶의 매 순간 순간에 BGM이 따라다닌다면?' 이 트윗은 그때 그때 제 생활의 순간을 음악으로 표현하는 곳 이랍니다. ^^"
"이정아","",""
"서정은","",""
"Minsky Moment","안드로메다","금융,투자,인생,육아! // 선한 영향력, 편향되지 않고, 기초에 충실하고, 실수 인정하는 사람 // 더불어 사는 사회"
"혜이니","","펨섭<U+2764>"
"지상오","",""
"김보련","",""
"백소현","","안녕하세요저고향은  북한평안북도 신의주에서 왓어요 그리고 나이는 36살 이름은 강혜영이라고해요 국정원조사 받고하나원교육받고 한국생활 한지는 5개월됐어요  진심으로좋은 인연찾고있습니다 저는 미혼입니다 상대방나이는60세이하 관심있는분연락주세요 출장만남은 걸절입니다카톡AS719 폰010980"
"MUN MIN JA","",""
"김상겸","",""
"이가영","",""
"이하닮님","",""
"캘리","",""
"베짱이","","100%맞팔/노래/동물/야구/기타 등등 다 모여랏"
"RUNY 러니","대한민국",""
"오드리화니","",""
"덕춘이","",""
"18 여고생 하느리<U+0001F495>","","<U+0001F338>레즈<U+0001F338> 남자들 DM <U+274C><U+274C><U+274C>"
"권혁윤","",""
"지수","",""
"김보운","","세상은 악한 사람에 의해서가 아니라 악을 방관하는 사람들 때문에 파멸한다."
"요정","",""
"최하림","",""
"암나드루와","","시오후키마스터"
"[감사했습니다] 쩬뉴","이 밤 빛나는 너만을 기억할게","공출목안하는데 언괄싫어(아무말"
"김인태","karea, ansan",""
"꼭집어","","My mind, My fmaily"
"slow_fiesta","",""
"DaeSung KANG","","DOW Biomedica inc. South Korea"
"현아","",""
"이름없음","","알티도둑 마음도둑 <U+0001F49C> 모두들 보라해요 <U+270C><U+0001F3FB> (왕초짜라서 틧터잘몰라여 이해해주세오<U+0001F933><U+0001F3FB>)"
"MotorFactKorea","","대한민국 최고의 중립적이고 팩트만을 다루는 자동차 신문 - 모터팩트입니다."
"벨스쿠","",""
"이향만","",""
"asdfghjkl","","."
"정의정","목포,전남,대한민국",""
"수현","",""
"데헷","",""
"김정화","",""
"우형균","",""
"PonyBoy","",""
"바밤바밤바","대한민국 부산","051 MD SADI"
"오영준","",""
"힙만두","대한민국",""
"무대표","Seoul in South Korea","hi~"
"Dfghj","한국",""
"오하경","",""
"워너원 뽀랩","",""
"뉴스펭귄","","<U+0001F427>멸종위기를 구하는 모든 지식 '뉴스펭귄'
News Penguin is a new korean platform trying to give the latest news all over the world concerning environment, especially extinct"
